case_text,administrative,criminal,civil,constitutional,family,commercial
Larsen & Toubro is accused of violating antitrust laws in Sydney. Mr. Salman challenges the new municipal tax regulation in Kashmir.,1,0,0,0,0,1
The transport authority in Kashmir faces complaints over revoked permits.,1,0,0,0,0,0
Petition filed by Amit regarding violation of free speech rights.,0,0,0,1,0,0
Adoption rights dispute raised by Kshitij in the High Court.,0,0,0,0,1,0
Dispute over guardianship rights brings Ayesha and Mahesh to court.,0,0,0,0,1,0
Salman and Mahesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Dispute over guardianship rights brings Anushree and Sukesh to court.,0,0,0,0,1,0
The inheritance claim of Kunal contested by family members in Delhi.,0,0,0,0,1,0
Raj challenges the reservation policy in the Supreme Court.,0,0,0,1,0,0
Citizens in Bangkok protest changes in election laws. Mr. Akshay challenges the new municipal tax regulation in New York.,1,0,0,1,0,0
Allegations of bias in exam results published by the Kerela board are raised.,1,0,0,0,0,0
Police arrest Omar in Riyadh for organized financial fraud. The rights of tribal communities in New York debated in the apex court.,0,1,0,1,0,0
Loan settlement conflict between Anjali and Yash escalates to civil court.,0,0,1,0,0,0
Mr. Omar challenges the new municipal tax regulation in Mumbai.,1,0,0,0,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Citizens in Sydney protest changes in election laws.,0,0,0,1,0,0
Shareholder Anushka alleges financial mismanagement by board members.,0,0,0,0,0,1
Police arrest Sukesh in Bangkok for organized financial fraud. The rights of tribal communities in Tokyo debated in the apex court.,0,1,0,1,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Dispute arises over land boundaries between Ayesha and John in Amsterdam. Dispute over guardianship rights brings Fatima and Sukesh to court.,0,0,1,0,1,0
The transport authority in London faces complaints over revoked permits.,1,0,0,0,0,0
An appeal was filed by Jatin against a land acquisition order in Riyadh.,1,0,0,0,0,0
Dispute over guardianship rights brings Aaradhya and Aaradhya to court.,0,0,0,0,1,0
Investigation begins on the kidnapping case involving Gukesh in Shanghai.,0,1,0,0,0,0
Loan settlement conflict between David and Salman escalates to civil court.,0,0,1,0,0,0
The department’s decision on pension disbursement was contested by Mukti.,1,0,0,0,0,0
Property ownership between Priya and Utkarsh contested in Dehradun court. Startup Capgemini sues ex-employee Prashant for leaking trade secrets.,0,0,1,0,0,1
Disney is accused of violating antitrust laws in Abu Dhabi.,0,0,0,0,0,1
Government hiring procedure disputed by Fatima from Seoul.,1,0,0,0,0,0
The department’s decision on pension disbursement was contested by Arpita.,1,0,0,0,0,0
Water damage liability case filed by Jyotir in Johannesburg.,0,0,1,0,0,0
Dispute arises over land boundaries between Himanshi and Ramesh in Dubai. Custody battle between Fatima and Raj in Singapore family court.,0,0,1,0,1,0
An FIR was lodged against Anshika for illegal possession of firearms.,0,1,0,0,0,0
An FIR was lodged against Fatima for illegal possession of firearms.,0,1,0,0,0,0
Dispute arises over land boundaries between Kartikey and Anushka in Mexico City. Dispute between HSBC and HSBC regarding merger terms.,0,0,1,0,0,1
Dispute between IKEA and IKEA regarding merger terms. The department’s decision on pension disbursement was contested by Jyotir.,1,0,0,0,0,1
Dispute over guardianship rights brings Sunita and Jyotir to court.,0,0,0,0,1,0
Litigation initiated for contract breach by Akshay against Omar. Dispute over guardianship rights brings Kshitij and Salman to court.,0,0,1,0,1,0
Loan settlement conflict between Aaradhya and Utkarsh escalates to civil court.,0,0,1,0,0,0
An appeal was filed by Kartikey against a land acquisition order in Vishakhapatnam.,1,0,0,0,0,0
ICICI Bank is accused of violating antitrust laws in Shanghai.,0,0,0,0,0,1
Mohit is charged with theft at Lima mall.,0,1,0,0,0,0
The rights of tribal communities in Madrid debated in the apex court. Mr. Piyush challenges the new municipal tax regulation in Johannesburg.,1,0,0,1,0,0
Litigation initiated for contract breach by Mohit against Monika.,0,0,1,0,0,0
Allegations of bias in exam results published by the Rome board are raised.,1,0,0,0,0,0
Akshay pleads not guilty in a court case regarding cybercrime. The rights of tribal communities in Bangkok debated in the apex court.,0,1,0,1,0,0
Rakesh pleads not guilty in a court case regarding cybercrime.,0,1,0,0,0,0
The department’s decision on pension disbursement was contested by Himanshi.,1,0,0,0,0,0
The rights of tribal communities in Manila debated in the apex court.,0,0,0,1,0,0
Loan settlement conflict between Salman and Kartikey escalates to civil court. Custody battle between Priya and Rakesh in Dubai family court.,0,0,1,0,1,0
"A drug trafficking ring was busted in Manila, implicating Aman.",0,1,0,0,0,0
Shareholder Anushree alleges financial mismanagement by board members.,0,0,0,0,0,1
Akshay is charged with theft at Buenos Aires mall.,0,1,0,0,0,0
Loan settlement conflict between Ramesh and Fatima escalates to civil court. Startup ICICI Bank sues ex-employee Utkarsh for leaking trade secrets.,0,0,1,0,0,1
Dispute arises over land boundaries between Anushka and Rohit in London.,0,0,1,0,0,0
Gukesh challenges the reservation policy in the Supreme Court. The transport authority in Pune faces complaints over revoked permits.,1,0,0,1,0,0
Investigation begins on the kidnapping case involving Jatin in Dehradun.,0,1,0,0,0,0
Adoption rights dispute raised by Mohit in the High Court.,0,0,0,0,1,0
Investigation begins on the kidnapping case involving Mohit in Goa.,0,1,0,0,0,0
"A drug trafficking ring was busted in Jakarta, implicating Sunita.",0,1,0,0,0,0
The department’s decision on pension disbursement was contested by Kshitij.,1,0,0,0,0,0
The inheritance claim of Aaradhya contested by family members in Kuala Lumpur.,0,0,0,0,1,0
Property ownership between Yash and Priya contested in Doha court.,0,0,1,0,0,0
The department’s decision on pension disbursement was contested by Rohit.,1,0,0,0,0,0
Gukesh pleads not guilty in a court case regarding cybercrime. Kunal challenges the reservation policy in the Supreme Court.,0,1,0,1,0,0
Simran and Harvijay file for divorce citing irreconcilable differences.,0,0,0,0,1,0
David is charged with theft at Amsterdam mall.,0,1,0,0,0,0
Property ownership between Aman and Rakesh contested in Dehradun court.,0,0,1,0,0,0
Litigation initiated for contract breach by Rakesh against Mukti.,0,0,1,0,0,0
Alimony disagreement leads to legal action from Rakesh.,0,0,0,0,1,0
Public interest litigation filed over religious freedom infringement. Mr. Arpita challenges the new municipal tax regulation in Delhi.,1,0,0,1,0,0
The rights of tribal communities in Osaka debated in the apex court.,0,0,0,1,0,0
Alimony disagreement leads to legal action from Shubham.,0,0,0,0,1,0
The rights of tribal communities in Berlin debated in the apex court.,0,0,0,1,0,0
Water damage liability case filed by Shouryan in Pune. The inheritance claim of Mohit contested by family members in Pune.,0,0,1,0,1,0
Citizens in Buenos Aires protest changes in election laws.,0,0,0,1,0,0
Investigation begins on the kidnapping case involving Anushka in Mexico City. Citizens in Istanbul protest changes in election laws.,0,1,0,1,0,0
Dispute over guardianship rights brings Kunal and Sara to court.,0,0,0,0,1,0
Startup Tesla sues ex-employee Chen for leaking trade secrets.,0,0,0,0,0,1
Citizens in Mumbai protest changes in election laws.,0,0,0,1,0,0
The transport authority in Goa faces complaints over revoked permits.,1,0,0,0,0,0
Public interest litigation filed over religious freedom infringement.,0,0,0,1,0,0
eBay is accused of violating antitrust laws in Jammu.,0,0,0,0,0,1
Public interest litigation filed over religious freedom infringement. An appeal was filed by John against a land acquisition order in Melbourne.,1,0,0,1,0,0
"A drug trafficking ring was busted in Johannesburg, implicating Prashant. Citizens in Singapore protest changes in election laws.",0,1,0,1,0,0
Arpita and Shubham file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Supplier contract termination by Adobe Systems leads to litigation.,0,0,0,0,0,1
Rohit is charged with theft at São Paulo mall.,0,1,0,0,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds. Mr. Aaradhya challenges the new municipal tax regulation in Paris.,1,0,0,1,0,0
Dispute over guardianship rights brings Utkarsh and Piyush to court.,0,0,0,0,1,0
Aaradhya is charged with theft at Osaka mall.,0,1,0,0,0,0
Water damage liability case filed by Ramesh in Delhi.,0,0,1,0,0,0
Dispute between Infosys and Infosys regarding merger terms. The transport authority in Seoul faces complaints over revoked permits.,1,0,0,0,0,1
Yash and Jatin file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Water damage liability case filed by Kartikey in Doha.,0,0,1,0,0,0
Mr. Utkarsh challenges the new municipal tax regulation in Dehradun.,1,0,0,0,0,0
An FIR was lodged against Anushree for illegal possession of firearms.,0,1,0,0,0,0
Salman and Fatima file for divorce citing irreconcilable differences.,0,0,0,0,1,0
An appeal was filed by Yash against a land acquisition order in Dehradun.,1,0,0,0,0,0
Supplier contract termination by Caterpillar leads to litigation. Government hiring procedure disputed by Anushree from Brisbane.,1,0,0,0,0,1
Petition filed by Sudhir regarding violation of free speech rights.,0,0,0,1,0,0
"A drug trafficking ring was busted in London, implicating John.",0,1,0,0,0,0
Kartikey pleads not guilty in a court case regarding cybercrime.,0,1,0,0,0,0
Water damage liability case filed by Mohit in Jakarta.,0,0,1,0,0,0
Dispute arises over land boundaries between Monika and Aman in Tokyo.,0,0,1,0,0,0
Fatima pleads not guilty in a court case regarding cybercrime.,0,1,0,0,0,0
Police arrest Gukesh in Barcelona for organized financial fraud. Public interest litigation filed over religious freedom infringement.,0,1,0,1,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds. Government hiring procedure disputed by Sudhir from Istanbul.,1,0,0,1,0,0
The transport authority in Cairo faces complaints over revoked permits.,1,0,0,0,0,0
"A drug trafficking ring was busted in Osaka, implicating Piyush. Citizens in Tokyo protest changes in election laws.",0,1,0,1,0,0
Alimony disagreement leads to legal action from Simran.,0,0,0,0,1,0
Citizens in Sydney protest changes in election laws.,0,0,0,1,0,0
Loan settlement conflict between Piyush and Aditya escalates to civil court. Adoption rights dispute raised by Anushka in the High Court.,0,0,1,0,1,0
Police arrest Sara in Cairo for organized financial fraud.,0,1,0,0,0,0
Dispute arises over land boundaries between Piyush and Himanshi in Cairo.,0,0,1,0,0,0
Loan settlement conflict between Raj and Yash escalates to civil court. Shareholder Anushree alleges financial mismanagement by board members.,0,0,1,0,0,1
Jyotir is charged with theft at Madrid mall. Citizens in Lima protest changes in election laws.,0,1,0,1,0,0
Yash files lawsuit against Tanmay for breach of partnership terms.,0,0,0,0,0,1
The rights of tribal communities in Kerela debated in the apex court.,0,0,0,1,0,0
Sudhir files lawsuit against Aditya for breach of partnership terms.,0,0,0,0,0,1
Harvijay sues Fatima over sudden rental agreement termination. Dispute between HDFC Bank and HDFC Bank regarding merger terms.,0,0,1,0,0,1
Shouryan pleads not guilty in a court case regarding cybercrime.,0,1,0,0,0,0
Loan settlement conflict between Mahesh and Priya escalates to civil court. Startup eBay sues ex-employee David for leaking trade secrets.,0,0,1,0,0,1
Petition filed by Ramesh regarding violation of free speech rights.,0,0,0,1,0,0
Water damage liability case filed by Sudhir in Manila.,0,0,1,0,0,0
Sukesh files lawsuit against Omar for breach of partnership terms.,0,0,0,0,0,1
Dispute arises over land boundaries between Jyotir and Mahesh in Pune. Dispute between eBay and eBay regarding merger terms.,0,0,1,0,0,1
An appeal was filed by Shouryan against a land acquisition order in Shanghai.,1,0,0,0,0,0
Police arrest Anushree in São Paulo for organized financial fraud.,0,1,0,0,0,0
Dispute over guardianship rights brings Sudhir and Kartikey to court.,0,0,0,0,1,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Mr. Amit challenges the new municipal tax regulation in London.,1,0,0,0,0,0
Startup Toyota sues ex-employee Raj for leaking trade secrets.,0,0,0,0,0,1
Kartikey pleads not guilty in a court case regarding cybercrime. The rights of tribal communities in Goa debated in the apex court.,0,1,0,1,0,0
Sunita files lawsuit against Aaradhya for breach of partnership terms.,0,0,0,0,0,1
Dispute between Bosch and Bosch regarding merger terms.,0,0,0,0,0,1
Aditya sues Simran over sudden rental agreement termination.,0,0,1,0,0,0
The inheritance claim of John contested by family members in Cape Town.,0,0,0,0,1,0
"A drug trafficking ring was busted in Dubai, implicating Tanmay.",0,1,0,0,0,0
Property ownership between Sunita and Sukesh contested in Shanghai court.,0,0,1,0,0,0
Dispute between Alibaba Group and Alibaba Group regarding merger terms. The transport authority in Istanbul faces complaints over revoked permits.,1,0,0,0,0,1
Adoption rights dispute raised by Harvijay in the High Court.,0,0,0,0,1,0
Police arrest Jyotir in Buenos Aires for organized financial fraud. A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,1,0,1,0,0
Dispute between Bosch and Bosch regarding merger terms.,0,0,0,0,0,1
The department’s decision on pension disbursement was contested by Aman.,1,0,0,0,0,0
Custody battle between Anushree and Harvijay in New York family court.,0,0,0,0,1,0
Police arrest Rakesh in Vishakhapatnam for organized financial fraud. Public interest litigation filed over religious freedom infringement.,0,1,0,1,0,0
Fatima challenges the reservation policy in the Supreme Court.,0,0,0,1,0,0
Ramesh challenges the reservation policy in the Supreme Court.,0,0,0,1,0,0
Litigation initiated for contract breach by Himanshi against Sunita.,0,0,1,0,0,0
The rights of tribal communities in Sydney debated in the apex court. Mr. Sukesh challenges the new municipal tax regulation in Istanbul.,1,0,0,1,0,0
Alimony disagreement leads to legal action from Aaradhya.,0,0,0,0,1,0
Adoption rights dispute raised by Aditya in the High Court.,0,0,0,0,1,0
Public interest litigation filed over religious freedom infringement.,0,0,0,1,0,0
An FIR was lodged against Salman for illegal possession of firearms.,0,1,0,0,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Loan settlement conflict between Sara and Yash escalates to civil court. Startup BP sues ex-employee Himanshi for leaking trade secrets.,0,0,1,0,0,1
Water damage liability case filed by Simran in Mumbai.,0,0,1,0,0,0
Prashant is charged with theft at Barcelona mall.,0,1,0,0,0,0
The transport authority in New York faces complaints over revoked permits.,1,0,0,0,0,0
Dispute between Yum! Brands and Yum! Brands regarding merger terms.,0,0,0,0,0,1
Litigation initiated for contract breach by Himanshi against Anshika.,0,0,1,0,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Dispute between Google and Google regarding merger terms. An appeal was filed by Ramesh against a land acquisition order in Riyadh.,1,0,0,0,0,1
Water damage liability case filed by Shivam in Chennai.,0,0,1,0,0,0
An appeal was filed by Tanmay against a land acquisition order in Mumbai.,1,0,0,0,0,0
Public interest litigation filed over religious freedom infringement. Mr. Priya challenges the new municipal tax regulation in Shanghai.,1,0,0,1,0,0
Citizens in Dehradun protest changes in election laws.,0,0,0,1,0,0
Property ownership between Sukesh and Rakesh contested in Osaka court.,0,0,1,0,0,0
Startup Reliance Jio sues ex-employee Aman for leaking trade secrets.,0,0,0,0,0,1
Costco is accused of violating antitrust laws in Istanbul.,0,0,0,0,0,1
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Dispute over guardianship rights brings Omar and Gukesh to court.,0,0,0,0,1,0
Petition filed by Himanshi regarding violation of free speech rights. The transport authority in Paris faces complaints over revoked permits.,1,0,0,1,0,0
The rights of tribal communities in Pune debated in the apex court.,0,0,0,1,0,0
Investigation begins on the kidnapping case involving Mohit in New York.,0,1,0,0,0,0
Public interest litigation filed over religious freedom infringement. The department’s decision on pension disbursement was contested by Kshitij.,1,0,0,1,0,0
Shareholder Himanshi alleges financial mismanagement by board members. The transport authority in Vishakhapatnam faces complaints over revoked permits.,1,0,0,0,0,1
Litigation initiated for contract breach by Rohit against John. Jyotir and John file for divorce citing irreconcilable differences.,0,0,1,0,1,0
An FIR was lodged against Amit for illegal possession of firearms.,0,1,0,0,0,0
The inheritance claim of Omar contested by family members in Cape Town.,0,0,0,0,1,0
Loan settlement conflict between Simran and Gukesh escalates to civil court.,0,0,1,0,0,0
The transport authority in Jammu faces complaints over revoked permits.,1,0,0,0,0,0
Public interest litigation filed over religious freedom infringement.,0,0,0,1,0,0
Public interest litigation filed over religious freedom infringement.,0,0,0,1,0,0
The inheritance claim of Arpita contested by family members in Madrid.,0,0,0,0,1,0
The rights of tribal communities in Rome debated in the apex court.,0,0,0,1,0,0
Adoption rights dispute raised by Raj in the High Court.,0,0,0,0,1,0
Salman is charged with theft at Manchester mall.,0,1,0,0,0,0
Mercedes-Benz is accused of violating antitrust laws in Riyadh. The transport authority in Rome faces complaints over revoked permits.,1,0,0,0,0,1
Adoption rights dispute raised by Mohit in the High Court.,0,0,0,0,1,0
Mr. Aditya challenges the new municipal tax regulation in Riyadh.,1,0,0,0,0,0
An FIR was lodged against Priya for illegal possession of firearms.,0,1,0,0,0,0
Litigation initiated for contract breach by Aaradhya against Omar.,0,0,1,0,0,0
Mukti challenges the reservation policy in the Supreme Court.,0,0,0,1,0,0
Mr. Anushree challenges the new municipal tax regulation in Shanghai.,1,0,0,0,0,0
Citizens in Seoul protest changes in election laws. The department’s decision on pension disbursement was contested by Mohit.,1,0,0,1,0,0
Investigation begins on the kidnapping case involving Gukesh in Rome.,0,1,0,0,0,0
Litigation initiated for contract breach by Tanmay against Chen.,0,0,1,0,0,0
Startup 3M sues ex-employee Shivam for leaking trade secrets.,0,0,0,0,0,1
An FIR was lodged against Mahesh for illegal possession of firearms.,0,1,0,0,0,0
Litigation initiated for contract breach by Mohit against John.,0,0,1,0,0,0
Police arrest Salman in Abu Dhabi for organized financial fraud.,0,1,0,0,0,0
Kshitij sues Shivam over sudden rental agreement termination. Harvijay and Prashant file for divorce citing irreconcilable differences.,0,0,1,0,1,0
Property ownership between Salman and Ayesha contested in Abu Dhabi court.,0,0,1,0,0,0
Government hiring procedure disputed by Simran from Berlin.,1,0,0,0,0,0
John sues Ramesh over sudden rental agreement termination.,0,0,1,0,0,0
Sunita is charged with theft at Manchester mall. Petition filed by Ramesh regarding violation of free speech rights.,0,1,0,1,0,0
Government hiring procedure disputed by Rakesh from Cape Town.,1,0,0,0,0,0
Shubham challenges the reservation policy in the Supreme Court.,0,0,0,1,0,0
Gukesh sues Jyotir over sudden rental agreement termination. Startup Apple sues ex-employee Aaradhya for leaking trade secrets.,0,0,1,0,0,1
The rights of tribal communities in Dubai debated in the apex court.,0,0,0,1,0,0
An appeal was filed by Rohit against a land acquisition order in Manchester.,1,0,0,0,0,0
Loan settlement conflict between Piyush and Priya escalates to civil court.,0,0,1,0,0,0
Water damage liability case filed by Ramesh in Brisbane. Alimony disagreement leads to legal action from Mahesh.,0,0,1,0,1,0
Omar sues Kunal over sudden rental agreement termination. Reliance Retail is accused of violating antitrust laws in Madrid.,0,0,1,0,0,1
Alimony disagreement leads to legal action from Rohit.,0,0,0,0,1,0
Property ownership between Mohit and Ramesh contested in Singapore court.,0,0,1,0,0,0
Police arrest Anjali in Mumbai for organized financial fraud.,0,1,0,0,0,0
Litigation initiated for contract breach by Titiksha against Jyotir.,0,0,1,0,0,0
McDonald's is accused of violating antitrust laws in New York. The department’s decision on pension disbursement was contested by Sukesh.,1,0,0,0,0,1
Allegations of bias in exam results published by the Bangkok board are raised.,1,0,0,0,0,0
An FIR was lodged against Raj for illegal possession of firearms.,0,1,0,0,0,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Mukti sues Sara over sudden rental agreement termination. Shareholder Jyotir alleges financial mismanagement by board members.,0,0,1,0,0,1
Allegations of bias in exam results published by the Osaka board are raised.,1,0,0,0,0,0
The transport authority in Barcelona faces complaints over revoked permits.,1,0,0,0,0,0
Shareholder Monika alleges financial mismanagement by board members. Mr. Mahesh challenges the new municipal tax regulation in Dehradun.,1,0,0,0,0,1
Allegations of bias in exam results published by the Rome board are raised.,1,0,0,0,0,0
Shareholder Chen alleges financial mismanagement by board members. The department’s decision on pension disbursement was contested by Mohit.,1,0,0,0,0,1
Water damage liability case filed by Sukesh in Sydney.,0,0,1,0,0,0
Shareholder Mahesh alleges financial mismanagement by board members.,0,0,0,0,0,1
The rights of tribal communities in Singapore debated in the apex court.,0,0,0,1,0,0
Dispute arises over land boundaries between Aaradhya and Sunita in Abu Dhabi. Dispute between Larsen & Toubro and Larsen & Toubro regarding merger terms.,0,0,1,0,0,1
Dispute over guardianship rights brings Utkarsh and Anushka to court.,0,0,0,0,1,0
Police arrest Anshika in Kashmir for organized financial fraud.,0,1,0,0,0,0
ExxonMobil is accused of violating antitrust laws in Brussels.,0,0,0,0,0,1
An appeal was filed by Simran against a land acquisition order in Manchester.,1,0,0,0,0,0
"A drug trafficking ring was busted in Lima, implicating Shivam.",0,1,0,0,0,0
Property ownership between Titiksha and Priya contested in Abu Dhabi court. Dispute over guardianship rights brings Raj and Akshay to court.,0,0,1,0,1,0
Police arrest Kshitij in Rome for organized financial fraud.,0,1,0,0,0,0
Property ownership between Sudhir and Sudhir contested in Dubai court. Supplier contract termination by Caterpillar leads to litigation.,0,0,1,0,0,1
Mukti pleads not guilty in a court case regarding cybercrime.,0,1,0,0,0,0
Water damage liability case filed by Mukti in Amsterdam. Startup Verizon sues ex-employee Priya for leaking trade secrets.,0,0,1,0,0,1
Anshika files lawsuit against Jatin for breach of partnership terms.,0,0,0,0,0,1
Mr. Aaradhya challenges the new municipal tax regulation in Manchester.,1,0,0,0,0,0
"A drug trafficking ring was busted in Shanghai, implicating Omar. Petition filed by David regarding violation of free speech rights.",0,1,0,1,0,0
Shareholder Prashant alleges financial mismanagement by board members.,0,0,0,0,0,1
Petition filed by Ramesh regarding violation of free speech rights.,0,0,0,1,0,0
John sues Mukti over sudden rental agreement termination. Raj files lawsuit against Raj for breach of partnership terms.,0,0,1,0,0,1
Dispute arises over land boundaries between Jyotir and Aaradhya in Istanbul.,0,0,1,0,0,0
Supplier contract termination by Reliance Retail leads to litigation.,0,0,0,0,0,1
Amit sues Anushree over sudden rental agreement termination.,0,0,1,0,0,0
Tencent is accused of violating antitrust laws in Jakarta.,0,0,0,0,0,1
Sara pleads not guilty in a court case regarding cybercrime.,0,1,0,0,0,0
The department’s decision on pension disbursement was contested by Mahesh.,1,0,0,0,0,0
Priya challenges the reservation policy in the Supreme Court. Government hiring procedure disputed by Anjali from New York.,1,0,0,1,0,0
Adoption rights dispute raised by Akshay in the High Court.,0,0,0,0,1,0
Adoption rights dispute raised by Simran in the High Court.,0,0,0,0,1,0
A law regarding digital surveillance is being scrutinized under constitutional grounds.,0,0,0,1,0,0
Public interest litigation filed over religious freedom infringement.,0,0,0,1,0,0
Rakesh files lawsuit against David for breach of partnership terms. Allegations of bias in exam results published by the Pune board are raised.,1,0,0,0,0,1
Startup Starbucks sues ex-employee Yash for leaking trade secrets.,0,0,0,0,0,1
Loan settlement conflict between Amit and Sara escalates to civil court. Shareholder Monika alleges financial mismanagement by board members.,0,0,1,0,0,1
Custody battle between Gukesh and Gukesh in Osaka family court.,0,0,0,0,1,0
Startup Microsoft sues ex-employee Amit for leaking trade secrets. The transport authority in Bangkok faces complaints over revoked permits.,1,0,0,0,0,1
Dispute arises over land boundaries between Rakesh and Anushka in Brisbane. Shareholder Titiksha alleges financial mismanagement by board members.,0,0,1,0,0,1
The transport authority in Brussels faces complaints over revoked permits.,1,0,0,0,0,0
Shivam and Sukesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Netflix is accused of violating antitrust laws in Seoul.,0,0,0,0,0,1
Dispute arises over land boundaries between Aaradhya and Priya in Shanghai.,0,0,1,0,0,0
Petition filed by Raj regarding violation of free speech rights.,0,0,0,1,0,0
Public interest litigation filed over religious freedom infringement. The transport authority in Brisbane faces complaints over revoked permits.,1,0,0,1,0,0
"A drug trafficking ring was busted in Rome, implicating Anshika.",0,1,0,0,0,0
Salman is charged with theft at Manila mall.,0,1,0,0,0,0
Prashant files lawsuit against Raj for breach of partnership terms. Allegations of bias in exam results published by the Brussels board are raised.,1,0,0,0,0,1
Shubham files lawsuit against Salman for breach of partnership terms.,0,0,0,0,0,1
The inheritance claim of Omar contested by family members in Brussels.,0,0,0,0,1,0
Shouryan files lawsuit against Sudhir for breach of partnership terms.,0,0,0,0,0,1
Investigation begins on the kidnapping case involving Mohit in Brisbane. Citizens in Pune protest changes in election laws.,0,1,0,1,0,0
Custody battle between Mukti and Fatima in Manila family court.,0,0,0,0,1,0
Dispute arises over land boundaries between Aaradhya and Sukesh in Kerela.,0,0,1,0,0,0
Shareholder Tanmay alleges financial mismanagement by board members.,0,0,0,0,0,1
Public interest litigation filed over religious freedom infringement.,0,0,0,1,0,0
Startup Bharti Airtel sues ex-employee Jyotir for leaking trade secrets.,0,0,0,0,0,1
Water damage liability case filed by Ramesh in Berlin.,0,0,1,0,0,0
The rights of tribal communities in Doha debated in the apex court.,0,0,0,1,0,0
Water damage liability case filed by Anushree in Bangkok.,0,0,1,0,0,0
The rights of tribal communities in Buenos Aires debated in the apex court. Allegations of bias in exam results published by the Paris board are raised.,1,0,0,1,0,0
Loan settlement conflict between Raj and Jatin escalates to civil court.,0,0,1,0,0,0
Loan settlement conflict between Utkarsh and Sara escalates to civil court. The inheritance claim of Omar contested by family members in Mumbai.,0,0,1,0,1,0
Property ownership between Akshay and David contested in Brisbane court.,0,0,1,0,0,0
Mr. Aaradhya challenges the new municipal tax regulation in Johannesburg.,1,0,0,0,0,0
Water damage liability case filed by Anshika in Dubai.,0,0,1,0,0,0
Loan settlement conflict between Monika and Piyush escalates to civil court.,0,0,1,0,0,0
Property ownership between Ramesh and Chen contested in Melbourne court. Adoption rights dispute raised by Amit in the High Court.,0,0,1,0,1,0
Water damage liability case filed by Mahesh in Mumbai.,0,0,1,0,0,0
